ANALS_YM,CMPNM_NM,SIGNGU_NM,ADSTRD_NM,AREA_NM,MLSFC_NM,SCLAS_NM,JJINHBT_SALES_PRICE_RATE,JJINHBT_SALES_CO_RATE,OTSD_SALES_PRICE_RATE,OTSD_SALES_CO_RATE,ALL_SALES_PRICE_RATE,ALL_SALES_CO_RATE,VARTION_RT,RANK_CO,GID_ID
202212,컴포즈커피 제주제원점,제주시,연동,제주시내,카페,커피,0.22,3,0.03,1.16,0.06,2.25,0.62,531,다다06a00a
202212,(주) 성우디엔에프,서귀포시,대천동,서귀포시내,한식,단품요리 전문,0,0,0.23,0.6,0.2,0.51,0.96,268,다나05b71b
202212,초록분식,서귀포시,중앙동,서귀포시내,분식,분식,0.15,0.55,0.07,0.88,0.09,0.98,0.15,3310,다나12b73a
202212,띠아모서홍점,서귀포시,서홍동,서귀포시내,베이커리.디저트,아이스크림/빙수,0.24,1.11,0,0.09,0.04,0.54,0.39,1084,다나12a74b
202212,도진식당,제주시,연동,제주시내,한식,가정식,0.21,0.26,0.01,0.06,0.04,0.16,0.07,5286,다나06a99a
202212,컨츄리호프,제주시,건입동,제주시내,주점,주류,0.2,0.17,0.01,0.04,0.04,0.11,0.01,8084,다다10a02b
202212,올리브와뽀빠이,제주시,연동,제주시내,분식,분식,0.08,0.32,0,0.03,0.01,0.16,0.09,4623,다다06a00a
202212,명당떡집,제주시,이도2동,제주시내,베이커리.디저트,베이커리,0.64,1.72,0.02,0.1,0.11,0.81,-0.05,10634,다다09b00b
202212,고씨네막창,제주시,이도2동,제주시내,고기,막창,0.79,0.58,0.04,0.04,0.15,0.28,0.05,6179,다다09b00b
202212,바르메,제주시,노형동,제주시내,한식,가정식,0.89,0.99,0,0,0.13,0.41,0.15,3148,다나05a99b
202212,팔마식당,서귀포시,서홍동,서귀포시내,한식,가정식,0.28,0.5,0.01,0.04,0.05,0.24,0.09,4564,다나12a73b
202212,돈항아리  숯불구이,제주시,일도2동,제주시내,고기,고기,0.49,0.35,0.01,0.03,0.08,0.17,-0.09,11281,다다10b02b
202212,오젠정식,제주시,봉개동,제주시내,한식,단품요리 전문,0.19,0.17,0.01,0.03,0.03,0.1,0.02,7641,다나17a97b
202212,서귀포모녀식당,제주시,연동,제주시내,한식,단품요리 전문,0.25,0.52,0.01,0.04,0.04,0.26,0.01,7785,다나06b99b
202212,마메종,제주시,연동,제주시내,양식,양식,0.11,0.29,0.01,0.07,0.02,0.18,-0.01,8771,다다06a00a
202212,달빛사랑채,제주시,연동,제주시내,한식,가정식,0.09,0.03,0,0,0.01,0.01,0.1,4321,다나05b99b
202212,부산아지매집,제주시,노형동,제주시내,한식,가정식,0.59,0.96,0.08,0.27,0.16,0.64,0.47,819,다나04a99a
202212,코바코  서귀포점,서귀포시,정방동,서귀포시내,한식,단품요리 전문,0.41,0.93,0.03,0.29,0.09,0.64,-0.12,11550,다나12b73a
202212,맛드리복식당,서귀포시,송산동,서귀포시내,한식,가정식,0,0,0.01,0.04,0.01,0.04,-0.03,9726,다나12b72b
202212,대광장식당,서귀포시,천지동,서귀포시내,한식,가정식,0.03,0.06,0.01,0.07,0.01,0.09,0.15,3228,다나12b73b
202212,사랑하오리,서귀포시,천지동,서귀포시내,고기,오리,0.02,0.03,0,0,0,0.01,0.03,6986,다나12b73a
202212,정박사냉면,제주시,이도2동,제주시내,한식,면류,0.16,0.38,0,0,0.02,0.16,0.16,3043,다다10b01a
202212,진맛해장국,제주시,이도2동,제주시내,한식,해장국,0.15,0.23,0,0,0.02,0.1,0.07,5287,다다10a00a
202212,만배수산,제주시,연동,제주시내,일식.회,회,6.31,3.24,1.19,1.85,2,2.93,-0.59,12378,다나06a99a
202212,텅꼬치구이도남점,제주시,삼도1동,제주시내,한식,가정식,0.23,0.26,0,0.01,0.04,0.12,0.11,4040,다다09a01a
202212,열열이얼큰이서사라점,제주시,삼도2동,제주시내,한식,단품요리 전문,0.27,0.35,0,0.01,0.04,0.16,0,8200,다다08b02a
202212,어신횟집,제주시,연동,제주시내,일식.회,회,0.63,0.29,0.13,0.23,0.21,0.32,0.09,4742,다다06a00a
202212,왕고모네식당,제주시,일도2동,제주시내,한식,단품요리 전문,0.1,0.41,0,0,0.02,0.17,0.11,4041,다다10a02a
202212,제주순두부,제주시,이도2동,제주시내,한식,단품요리 전문,0.19,0.58,0,0,0.03,0.24,-0.04,10093,다다11a01a
202212,태을갈비,제주시,노형동,제주시내,고기,갈비,3.76,1.95,0.11,0.14,0.66,0.94,0.42,961,다나05a98b
202212,맘스맘치킨피자,제주시,이도2동,제주시내,피자.치킨.햄버거,치킨,0.17,0.35,0.01,0.04,0.03,0.18,0.13,3579,다다10a01a
202212,돈삼촌,제주시,일도2동,제주시내,고기,돼지고기,0.3,0.23,0,0,0.05,0.1,0.1,4322,다다10b02a
202212,엠제이돼지,제주시,이도2동,제주시내,한식,가정식,0.6,0.44,0.08,0.12,0.16,0.28,0.07,5535,다다09b00b
202212,다미아,제주시,노형동,제주시내,주점,주류,2.17,1.87,0.12,0.36,0.43,1.09,-0.02,9559,다나05a99b
202212,광평도새기촌본점,제주시,이도2동,제주시내,한식,단품요리 전문,0.09,0.03,0.32,0.42,0.3,0.37,0.04,6755,다다10b00a
202212,삼양바다식당,제주시,삼양동,제주시내,한식,가정식,0.04,0.11,0.01,0.01,0.01,0.06,0.1,4323,다다14a04a
202212,계척단키친,제주시,연동,제주시내,한식,가정식,1.28,3.65,0.04,0.37,0.23,1.84,0.31,1487,다나06a99b
202212,탐앤탐스커피 외도점,제주시,외도동,제주시내,카페,커피,0.41,1.75,0.05,0.95,0.1,1.54,-0.1,11415,다다01a00b
202212,꺼멍도새기,제주시,일도1동,제주시내,한식,단품요리 전문,0.18,0.23,0.35,1.04,0.34,0.98,0.3,1500,다다09b02b
202212,은희네해장국 2호점,제주시,연동,제주시내,한식,해장국,3.59,8.16,0.39,2.08,0.89,5.18,0.26,1780,다나07a99a
202212,탐나도,제주시,이도2동,제주시내,한식,가정식,0.2,0.47,0,0.06,0.03,0.24,-0.03,9727,다다11b00b
202212,오도가든,제주시,이호동,제주시내,고기,고기,0.15,0.11,0,0,0.02,0.05,0,8201,다다03a00a
202212,광령,제주시,용담2동,제주시내,한식,단품요리 전문,0.4,0.26,0,0,0.06,0.11,0.05,6083,다다08a02a
202212,국진장,제주시,삼도1동,제주시내,중식,중식,0.09,0.38,0,0.03,0.02,0.18,0.33,1349,다다08b01b
202212,아리헌오리,제주시,일도1동,제주시내,고기,오리,0.38,0.17,0.01,0.01,0.06,0.09,-0.05,10522,다다09a02b
202212,금수레,제주시,일도2동,제주시내,한식,가정식,0.17,0.09,0,0,0.03,0.04,0.05,6154,다다11a01a
202212,한솥도시락 제주연동대림점,제주시,연동,제주시내,한식,도시락,0.63,3.82,0.02,0.37,0.11,1.92,0.52,686,다나06a99a
202212,시나브로,제주시,삼도2동,제주시내,한식,단품요리 전문,0.01,0.06,0,0.03,0,0.05,0.07,5497,다다09a02a
202212,카페봄봄 봉개점,제주시,봉개동,제주시내,카페,커피,0.47,5.69,0.03,0.88,0.09,3.12,1.43,122,다다16a00a
202212,육오구식당,제주시,외도동,제주시내,한식,가정식,0.01,0.03,0,0,0,0.01,0.03,6987,다다01a00a
202212,라꼬라꼬,제주시,이도1동,제주시내,한식,가정식,0.07,0.11,0,0,0.01,0.05,0.03,6988,다다09b01a
202212,보영이네시장치킨,제주시,삼도1동,제주시내,피자.치킨.햄버거,치킨,0.12,0.32,0.01,0.06,0.02,0.18,-0.05,10430,다다08b01a
202212,이승윤의알통떡강정 서귀포점,서귀포시,동홍동,서귀포시내,피자.치킨.햄버거,치킨,0.12,0.44,0,0.04,0.02,0.22,-0.02,9305,다나13b73b
202212,알동네국수,서귀포시,효돈동,서귀포시내,한식,가정식,0.02,0.06,0.03,0.16,0.03,0.16,0.01,7786,다나18a73b
202212,신세기식당,서귀포시,대륜동,서귀포시내,한식,가정식,0.09,0.06,0.03,0.04,0.04,0.06,-0.06,10702,다나08a72a
202212,중문이고집,서귀포시,중문동,서귀포시내,한식,가정식,0.96,0.73,0.1,0.21,0.23,0.49,0.14,3358,다나00a73b
202212,보물섬횟집,서귀포시,송산동,서귀포시내,일식.회,회,0.26,0.06,0.22,0.23,0.24,0.22,0.15,3229,다나13a72b
202212,리듬,제주시,삼도2동,제주시내,카페,커피,0.13,0.64,0.05,0.68,0.06,0.84,-0.16,11822,다다08b02b
202212,우도아지망,제주시,일도2동,제주시내,주점및주류판매,꼬치구이,0.13,0.11,0.01,0.01,0.03,0.06,0.02,7458,다다11a01a
202212,난타5000 연동점,제주시,연동,제주시내,피자.치킨.햄버거,피자,0.24,0.58,0,0.01,0.04,0.26,-0.03,9728,다나05b98b
202212,모이세본점,제주시,노형동,제주시내,한식,해장국,1.05,2.62,0.26,1.29,0.39,2.2,0.45,884,다나05b99b
202212,원당떡집,제주시,삼양동,제주시내,베이커리.디저트,베이커리,0.48,1.28,0.01,0.04,0.08,0.57,-0.04,10077,다다15a03b
202212,자갈치회센타,제주시,이도1동,제주시내,일식.회,회,1.72,1.11,0.27,0.98,0.49,1.29,0.13,3743,다다09b02b
202212,서림칡냉면,제주시,화북동,제주시내,한식,면류,0.23,0.5,0,0.03,0.04,0.23,0.05,6023,다다13a03b
202212,말이랑흑도새기랑,제주시,노형동,제주시내,한식,단품요리 전문,0.52,0.99,0,0.01,0.08,0.43,0.1,4285,다나05b95b
202212,반,제주시,삼도2동,제주시내,한식,가정식,0.01,0.03,0,0.04,0,0.05,0.16,3083,다다08b02b
202212,리틀포레스트,서귀포시,대천동,서귀포시내,한식,단품요리 전문,0.14,0.09,0.06,0.13,0.07,0.15,0.01,7787,다나03a73a
202212,돈사무소,제주시,이도2동,제주시내,고기,돼지고기,2.16,1.16,0.24,0.5,0.54,0.92,-0.08,11188,다다10a00a
202212,인생곱창,제주시,이도2동,제주시내,고기,곱창,2.89,1.75,0.07,0.16,0.5,0.87,0.17,2785,다다11a00b
202212,던킨도너츠 신제주점,제주시,노형동,제주시내,카페,커피,1.5,7.29,0.03,0.53,0.25,3.5,-0.38,12276,다나05a99b
202212,제주서부휴게소점,제주시,노형동,제주시내,한식,단품요리 전문,0.53,5.86,0.03,0.91,0.11,3.22,0.4,1054,다나02b97b
202212,남문숯불바베큐엔치킨 도남점,제주시,이도2동,제주시내,피자.치킨.햄버거,치킨,0.81,1.05,0.01,0.04,0.13,0.48,0.16,2972,다다09b00b
202212,커뮤니티라운지,제주시,일도1동,제주시내,한식,단품요리 전문,0,0.03,0.01,0.16,0.01,0.15,0.08,4911,다다09b02b
202212,제주어우계성공맛집,제주시,건입동,제주시내,한식,가정식,0.07,0.06,0,0,0.01,0.03,-0.03,9729,다다10a02b
202212,카이터스,제주시,삼양동,제주시내,한식,단품요리 전문,0.12,0.38,0.01,0.1,0.03,0.24,0.13,3580,다다15b03a
202212,부어치킨신제주점,제주시,연동,제주시내,피자.치킨.햄버거,치킨,0.02,0.06,0,0,0,0.03,0.09,4624,다나06b99b
202212,일도국수,제주시,일도2동,제주시내,한식,면류,0.23,0.76,0.02,0.12,0.05,0.41,0.22,2175,다다09b02a
202212,가든업,제주시,노형동,제주시내,고기,고기,0.45,0.96,0.04,0.26,0.11,0.62,0.26,1791,다나05a99b
202212,본죽앤비빔밥 아라점,제주시,아라동,제주시내,한식,죽,1.98,6.12,0.03,0.39,0.33,2.89,-0.66,12398,다나11a98a
202212,돈까스튀기는서대리,제주시,연동,제주시내,일식.회,돈까스,0.13,0.29,0.04,0.29,0.06,0.37,-0.02,9560,다나06b99b
202212,미풍해장국 일도점,제주시,이도2동,제주시내,한식,해장국,2,5.57,0.05,0.4,0.35,2.67,0.24,1948,다다11b00b
202212,7번가피자 제주외도점,제주시,외도동,제주시내,피자.치킨.햄버거,피자,0.11,0.21,0,0.01,0.02,0.1,0.19,2591,다다00b00a
202212,아랑조을국수,제주시,아라동,제주시내,한식,면류,0.26,0.82,0,0.04,0.04,0.38,0.29,1574,다나11a98b
202212,추자집,제주시,건입동,제주시내,한식,가정식,0.05,0.06,0.03,0.1,0.04,0.11,0.09,4609,다다09b03a
202212,제주에정든점,제주시,이도2동,제주시내,한식,가정식,0.37,0.09,0,0,0.06,0.04,0,8202,다다10b01a
202212,싱싱쌈촌,제주시,노형동,제주시내,한식,단품요리 전문,0.6,0.47,0.02,0.09,0.11,0.27,0.2,2480,다나05a98b
202212,모들카페,제주시,삼양동,제주시내,카페,커피,0.23,1.11,0,0.07,0.04,0.52,0.33,1356,다다14b03a
202212,카고크루즈,제주시,삼도2동,제주시내,한식,단품요리 전문,0.05,0.06,0.02,0.16,0.02,0.16,-0.05,10558,다다09a03a
202212,일오삼가든,제주시,화북동,제주시내,고기,고기,0.63,0.44,0.01,0.01,0.1,0.2,0.03,6989,다다13a03b
202212,전원일기본점,서귀포시,대륜동,서귀포시내,한식,가정식,0.44,0.88,0.06,0.32,0.12,0.64,0.38,1124,다나09a73a
202212,제주손칼국수냉면전문점,서귀포시,동홍동,서귀포시내,한식,면류,0.53,1.05,0.02,0.17,0.1,0.59,0.22,2161,다나13a74a
202212,한라네김밥,서귀포시,천지동,서귀포시내,분식,분식,0.52,2.07,0.05,0.73,0.12,1.49,0.43,944,다나12a73b
202212,어림향,제주시,삼도1동,제주시내,일식.회,일식,0.25,0.06,0.03,0.03,0.07,0.05,0.06,5693,다다08b01a
202212,돌하르방 신제주점,제주시,연동,제주시내,한식,가정식,0.11,0.26,0,0.01,0.02,0.12,0.15,3156,다다06b00a
202212,로얄양과,제주시,일도2동,제주시내,베이커리.디저트,베이커리,0.03,0.11,0,0,0,0.05,0.12,3813,다다10b02a
202212,바당회,서귀포시,대륜동,서귀포시내,일식.회,일식,0.26,0.11,0.08,0.12,0.11,0.15,0.05,6024,다나08b74a
202212,오봉집,제주시,이도2동,제주시내,한식,가정식,0.55,0.58,0.03,0.14,0.11,0.37,0.19,2531,다다09b01a
202212,큰언니네이층집,제주시,연동,제주시내,한식,가정식,0.09,0.15,0,0,0.01,0.06,0.02,7459,다다06a00a
202212,엄마가만든탕,제주시,건입동,제주시내,한식,단품요리 전문,0.17,0.23,0.03,0.1,0.05,0.18,-0.03,9730,다다10b02b
202212,회포,제주시,화북동,제주시내,한식,가정식,0.15,0.11,0,0,0.02,0.05,0.12,3814,다다13b03a
202212,안전식당,제주시,건입동,제주시내,한식,가정식,1.09,3.03,0.03,0.23,0.19,1.46,0.4,1032,다다10b02b
202212,제주어멍 통갈치,제주시,용담2동,제주시내,한식,가정식,0.24,0.09,0.98,1.29,0.91,1.13,0.19,2527,다다05b02b
202212,일등아들,제주시,연동,제주시내,한식,가정식,0.61,0.41,0.01,0.01,0.1,0.18,0.06,5694,다나06b99b
202212,연동대게회타운,제주시,연동,제주시내,한식,단품요리 전문,3.56,0.52,0.15,0.09,0.67,0.29,0.06,5695,다나06b99b
202212,짝태노가리제주1호점,제주시,연동,제주시내,주점및주류판매,포장마차,0.18,0.21,0.02,0.04,0.04,0.12,0.16,2973,다나06b99b
202212,제주정가네밥상,제주시,아라동,제주시내,한식,가정식,3.33,1.61,0.25,0.36,0.72,0.98,0.34,1280,다나10b97b
202212,고고짬뽕2호점연동점,제주시,연동,제주시내,중식,중식,0.14,0.26,0.01,0.07,0.03,0.17,0.04,6756,다나05b99b
202212,꼬추,제주시,이도2동,제주시내,한식,단품요리 전문,0.66,0.52,0,0.01,0.1,0.23,0.04,6445,다다10a00b
202212,댜오위다오,제주시,연동,제주시내,한식,단품요리 전문,0.25,0.23,0,0,0.04,0.1,0.01,8085,다다06a00a
202212,일도바다장어구이,제주시,일도2동,제주시내,한식,장어,0.5,0.21,0,0,0.07,0.09,-0.01,8810,다다10b01b
202212,일억조흑돼지,제주시,노형동,제주시내,한식,가정식,0.03,0.03,0.01,0.04,0.02,0.05,-0.02,9443,다나05a99b
202212,알지,제주시,이도2동,제주시내,양식,양식,0.66,0.15,0,0,0.1,0.06,-0.05,10523,다다09b01a
202212,제주오겹살왕돌구이집,제주시,아라동,제주시내,한식,가정식,2.04,1.43,0.14,0.24,0.43,0.81,-0.02,9561,다나11a98b
202212,화북송가네,제주시,화북동,제주시내,한식,가정식,0.52,0.64,0,0.06,0.08,0.32,0.08,4912,다다13a03b
202212,또래오래 중앙점,서귀포시,정방동,서귀포시내,피자.치킨.햄버거,치킨,0.11,0.21,0,0.01,0.02,0.1,-0.02,9444,다나12b73a
202212,제이제이하우스동홍점,서귀포시,동홍동,서귀포시내,카페,커피,0.15,0.03,0,0,0.02,0.01,0.07,5288,다나13a73b
202212,복조리부산양곱창,서귀포시,천지동,서귀포시내,고기,곱창,0.19,0.15,0.02,0.03,0.04,0.09,0.12,3832,다나12a73b
202212,백조,제주시,일도1동,제주시내,한식,가정식,0.06,0.06,0,0.01,0.01,0.04,-0.03,9731,다다09b02b
202212,상상마라,제주시,연동,제주시내,한식,가정식,0.08,0.06,0,0,0.01,0.03,0,8203,다나06a99b
202212,제주은갈치,제주시,용담2동,제주시내,일식.회,회,0.21,0.03,0,0,0.03,0.01,0.03,6990,다다07b02a
202212,이노찌,제주시,삼도2동,제주시내,일식.회,일식,0.65,0.06,0.05,0.03,0.14,0.05,0.04,6659,다다09a01b
202212,금조,제주시,일도2동,제주시내,한식,가정식,1.09,1.52,0.02,0.04,0.18,0.67,0.09,4743,다다11a02a
202212,일도호수,제주시,이도2동,제주시내,한식,단품요리 전문,0.26,0.38,0,0,0.04,0.16,0.04,6446,다다11a01a
202212,런카페,서귀포시,정방동,서귀포시내,카페,커피,0.03,0.03,0,0,0,0.01,0,8204,다나13a73a
202212,대한민육,서귀포시,천지동,서귀포시내,한식,가정식,0.12,0.09,0.05,0.1,0.06,0.12,0.09,4625,다나12a73b
202212,떡군이네떡볶이 신서귀포점,서귀포시,대천동,서귀포시내,분식,분식,0.12,0.32,0.01,0.07,0.03,0.2,-0.09,11282,다나07b74b
202212,블루메베이글,제주시,이도2동,제주시내,한식,단품요리 전문,1.11,3.65,0.31,2.95,0.44,4.03,-0.36,12269,다다10a00b
202212,카페허그,제주시,삼도2동,제주시내,카페,커피,0.08,0.26,0.02,0.14,0.03,0.23,-0.03,9732,다다09a02b
202212,고기역,제주시,연동,제주시내,한식,단품요리 전문,0.75,0.5,0.34,0.72,0.41,0.82,0.03,6856,다나06a99a
202212,국시촌,제주시,이도2동,제주시내,한식,가정식,0.39,1.16,0.01,0.09,0.06,0.56,-0.05,10635,다다09b00b
202212,베이커리우빵,제주시,이도2동,제주시내,베이커리.디저트,베이커리,0.33,1.28,0.04,0.33,0.08,0.82,0.16,2974,다다10a01a
202212,이미롤카페,제주시,일도2동,제주시내,카페,커피,0.02,0.06,0,0,0,0.03,0.1,4324,다다10b02b
202212,호우호시,제주시,이도2동,제주시내,한식,단품요리 전문,0.27,0.29,0,0,0.04,0.12,-0.01,8811,다다09b01a
202212,그집글라,제주시,오라동,제주시내,한식,단품요리 전문,0.3,1.25,0.01,0.12,0.06,0.62,0.05,5975,다다08a01a
202212,다람쥐와도토리,제주시,노형동,제주시내,한식,가정식,0.31,0.26,0,0,0.05,0.11,-0.02,9445,다나04b99b
202212,해피데이,제주시,연동,제주시내,주점,주류,0.01,0.03,0,0,0,0.01,0.04,6595,다나05b99b
202212,괸당집 신제주점,제주시,연동,제주시내,한식,가정식,1.23,1.14,0.11,0.27,0.28,0.71,-0.08,11062,다다06a00a
202212,진홍식당,제주시,연동,제주시내,한식,가정식,0.03,0.06,0,0.01,0.01,0.04,0,8205,다나06a99b
202212,용짜형뽕,제주시,용담2동,제주시내,중식,중식,0.05,0.17,0.01,0.07,0.02,0.13,0.04,6447,다다08a02b
202212,공간뉴제주,제주시,노형동,제주시내,한식,단품요리 전문,0.18,0.17,0.01,0.03,0.04,0.1,0.17,2824,다나05a99b
202212,엥그리고,제주시,아라동,제주시내,한식,단품요리 전문,0,0,0,0.01,0,0.01,-0.01,8880,다나11b98b
202212,동문카페,제주시,건입동,제주시내,카페,커피,0.64,0.52,0.03,0.12,0.12,0.32,0.28,1683,다다09a03a
202212,세라비,제주시,노형동,제주시내,한식,단품요리 전문,0.1,0.52,0.01,0.16,0.02,0.35,-0.11,11433,다나05a98b
202212,예그리나,제주시,용담2동,제주시내,한식,단품요리 전문,0.02,0.11,0.02,0.33,0.03,0.33,0.3,1536,다다08a03a
202212,구우쿠다,서귀포시,대천동,서귀포시내,베이커리.디저트,베이커리,0.01,0.03,0.01,0.04,0.01,0.05,-0.04,10211,다나07b74a
202212,흑돼지BBQ,서귀포시,정방동,서귀포시내,고기,돼지고기,0.3,0.15,0.72,1.19,0.69,1.07,0.08,5232,다나12a73a
202212,제주떡고을,제주시,이도2동,제주시내,베이커리.디저트,베이커리,0.24,0.44,0,0.06,0.04,0.23,-0.04,10268,다다10a01a
202212,제주나누기,제주시,이도2동,제주시내,한식,단품요리 전문,0.03,0.09,0,0,0.01,0.04,0.05,6155,다다09b01a
202212,덕인당보리빵제주점,제주시,오라동,제주시내,베이커리.디저트,베이커리,1.77,1.89,0.18,0.96,0.42,1.61,0.33,1372,다다08a00b
202212,산들애국수,제주시,아라동,제주시내,한식,면류,1.12,3.56,0.04,0.45,0.2,1.87,0.36,1227,다나12b96b
202212,피엠푸드서귀포동홍점,서귀포시,동홍동,서귀포시내,피자.치킨.햄버거,피자,0.14,0.29,0.01,0.06,0.03,0.17,-0.06,10860,다나13a74a
202212,소담히로,제주시,이도2동,제주시내,중식,중식,0.45,1.2,0.01,0.09,0.08,0.57,0,8206,다다10b00a
202212,제주인양,제주시,이도1동,제주시내,한식,단품요리 전문,2.04,0.79,0.06,0.07,0.36,0.39,0.05,6180,다다09b01b
202212,탐라국꾼서광로점,제주시,용담1동,제주시내,주점및주류판매,맥주/요리주점,0.04,0.09,0,0,0.01,0.04,0.11,4124,다다08a01b
202212,나홀로횟집,제주시,용담2동,제주시내,일식.회,회,0.37,0.26,0.07,0.13,0.12,0.22,0.02,7642,다다06a03a
202212,삼양우숙이앤인생게장,제주시,삼양동,제주시내,한식,간장게장,1.04,0.96,0.06,0.17,0.21,0.55,0.1,4448,다다14b03b
202212,플로리안인제주,제주시,노형동,제주시내,한식,단품요리 전문,0.02,0.11,0.01,0.04,0.01,0.09,0.07,5289,다다05a00a
202212,몽돌보롬,제주시,연동,제주시내,한식,단품요리 전문,0.02,0.11,0.03,0.52,0.03,0.49,0.08,5157,다나05b98a
202212,이돈갓 시청점,제주시,이도2동,제주시내,일식.회,돈까스,0.8,1.89,0.01,0.07,0.13,0.85,0.06,5582,다다09b01a
202212,대학로참,제주시,이도2동,제주시내,한식,단품요리 전문,1.84,1.95,0.04,0.2,0.31,0.99,-0.12,11551,다다09b01a
202212,불닭공장신산점,제주시,일도2동,제주시내,피자.치킨.햄버거,치킨,0.75,1.2,0.01,0.04,0.13,0.54,0.25,1872,다다10a02a
202212,연동반점,제주시,연동,제주시내,중식,중식,0.56,0.09,0,0,0.08,0.04,0.03,6956,다다06a00a
202212,백년귤화다,제주시,이도1동,제주시내,한식,단품요리 전문,0.02,0.29,0.02,0.14,0.02,0.24,0.08,4913,다다09a02b
202212,하나더아이스크림할인점,제주시,노형동,제주시내,베이커리.디저트,아이스크림/빙수,0.24,2.3,0.01,0.12,0.04,1.06,0.17,2918,다나05a99a
202212,010회센터,제주시,일도2동,제주시내,일식.회,회,0.07,0.11,0.01,0.03,0.02,0.07,0.04,6660,다다11a01b
202212,삼다해물뚝배기,서귀포시,효돈동,서귀포시내,한식,가정식,0.99,0.88,0.18,0.45,0.31,0.74,-0.05,10636,다나17b74b
202212,명랑쌀핫도그 동홍점,서귀포시,동홍동,서귀포시내,베이커리.디저트,베이커리,0.36,2.74,0,0.12,0.06,1.25,0.22,2221,다나13a73b
202212,뻘떡낙지본저,제주시,이도2동,제주시내,한식,낙지,1.79,2.6,0.03,0.13,0.29,1.2,0.52,687,다나09b99a
202212,마마칼국수,제주시,노형동,제주시내,한식,면류,0.36,1.34,0.01,0.07,0.06,0.62,0.09,4744,다나05a98b
202212,바다양푼이동태탕신시가지점,서귀포시,대륜동,서귀포시내,한식,단품요리 전문,0.24,0.52,0.01,0.04,0.05,0.26,0.09,4745,다나08a73b
202212,두리둠비,서귀포시,예래동,서귀포시내,한식,단품요리 전문,0.57,1.14,0.29,1.47,0.34,1.72,0.27,1710,나나98b74a
202212,마노커피하우스,서귀포시,중문동,서귀포시내,카페,커피,0.12,0.41,0.25,1.68,0.24,1.6,0.15,3311,다나00a74a
202212,투데이케이쿠,서귀포시,송산동,서귀포시내,한식,단품요리 전문,0.08,0.32,0.04,0.39,0.05,0.46,-0.03,10003,다나12b72b
202212,현기네식당,제주시,봉개동,제주시내,한식,가정식,0.09,0.17,0,0.01,0.01,0.09,-0.06,10703,다다15b00a
202212,홍가네고기집,제주시,이도2동,제주시내,한식,단품요리 전문,0.57,0.5,0.02,0.07,0.1,0.27,0.01,7788,다다09b01a
202212,국민닭발,제주시,연동,제주시내,피자.치킨.햄버거,치킨,0.05,0.06,0.01,0.06,0.02,0.07,0.1,4325,다다06b00a
202212,써니의부엌,제주시,아라동,제주시내,한식,단품요리 전문,0.18,0.09,0.01,0.01,0.04,0.05,0.06,5696,다나09a98b
202212,육십계치킨외도점,제주시,외도동,제주시내,피자.치킨.햄버거,치킨,0.44,1.02,0.01,0.06,0.08,0.48,-0.11,11434,다다00b00a
202212,국민횟집,제주시,아라동,제주시내,일식.회,회,0.08,0.11,0.01,0.01,0.02,0.06,0.06,5697,다나11b98a
202212,주식회사링키지랩,제주시,아라동,제주시내,한식,단품요리 전문,0.05,1.05,0.05,3.57,0.05,3.47,2.51,39,다나13b95b
202212,제주메밀막국수함흥냉면,제주시,일도1동,제주시내,한식,면류,0.04,0.09,0.03,0.27,0.03,0.27,0.06,5698,다다09b02b
202212,보성정육식당,제주시,이도1동,제주시내,고기,고기,0.21,0.17,0,0,0.03,0.07,0.01,8086,다다09b01b
202212,제주오빠네만두,제주시,일도1동,제주시내,한식,만두,0.03,0.26,0.03,0.49,0.03,0.52,0.13,3581,다다09b02b
202212,남문바베큐치킨이도아라점,제주시,이도2동,제주시내,피자.치킨.햄버거,치킨,0.14,0.21,0,0,0.02,0.09,0.03,6991,다다11b00b
202212,썸카페,서귀포시,정방동,서귀포시내,카페,커피,0.26,0.06,0.03,0.01,0.07,0.04,-0.04,10212,다나12b73a
202212,올디벗구디,서귀포시,대천동,서귀포시내,한식,단품요리 전문,0.25,0.82,0.03,0.3,0.07,0.6,0.33,1324,다나04a73b
202212,마녀닭강정&치킨,서귀포시,천지동,서귀포시내,피자.치킨.햄버거,치킨,0.06,0.41,0.01,0.06,0.01,0.22,0.15,3230,다나12b73b
202212,고샌드,서귀포시,서홍동,서귀포시내,한식,단품요리 전문,0.29,0.76,0.01,0.13,0.05,0.43,0.04,6757,다나12a74a
202212,엉클통김밥 노형점,제주시,노형동,제주시내,분식,분식,0.17,0.96,0.02,0.29,0.05,0.65,0.18,2750,다나05a99a
202212,셔링,제주시,삼양동,제주시내,카페,커피,0.2,0.79,0,0.06,0.03,0.38,-0.01,9093,다다14b03b
202212,일용이네,제주시,연동,제주시내,한식,가정식,0.04,0.03,0,0,0.01,0.01,0,8207,다나06a99b
202212,떡갈비먹젠,제주시,이도1동,제주시내,고기,갈비,0.02,0.06,0,0.01,0,0.04,0.03,6957,다다09a02b
202212,서가식당,제주시,화북동,제주시내,한식,가정식,0.14,0.5,0,0.03,0.02,0.23,0.13,3719,다다14a02b
202212,금복주,서귀포시,동홍동,서귀포시내,한식,가정식,0.05,0.09,0,0,0.01,0.04,0.28,1646,다나13b73b
